demand_base_MW,renewable_scale,wind_peak_MW,solar_peak_MW,negative_hours,minimum_price_EUR_MWh,average_price_EUR_MWh
30,0.5,25.0,20.0,4,-10,26.666666666666668
35,0.5,25.0,20.0,0,40,40.0
40,0.5,25.0,20.0,0,40,40.0
45,0.5,25.0,20.0,0,40,40.0
50,0.5,25.0,20.0,0,40,40.0
55,0.5,25.0,20.0,0,40,40.0
60,0.5,25.0,20.0,0,40,42.5
65,0.5,25.0,20.0,0,40,47.5
70,0.5,25.0,20.0,0,40,57.5
75,0.5,25.0,20.0,0,40,67.5
80,0.5,25.0,20.0,0,40,82.5
85,0.5,25.0,20.0,0,100,100.0
90,0.5,25.0,20.0,0,100,100.0
95,0.5,25.0,20.0,0,100,100.0
100,0.5,25.0,20.0,0,100,100.0
105,0.5,25.0,20.0,0,100,100.0
110,0.5,25.0,20.0,0,100,100.0
115,0.5,25.0,20.0,0,100,100.0
120,0.5,25.0,20.0,0,100,100.0
30,0.6,30.0,24.0,6,-10,15.833333333333334
35,0.6,30.0,24.0,4,-10,25.0
40,0.6,30.0,24.0,0,40,40.0
45,0.6,30.0,24.0,0,40,40.0
50,0.6,30.0,24.0,0,40,40.0
55,0.6,30.0,24.0,0,40,40.0
60,0.6,30.0,24.0,0,40,40.0
65,0.6,30.0,24.0,0,40,45.0
70,0.6,30.0,24.0,0,40,50.0
75,0.6,30.0,24.0,0,40,57.5
80,0.6,30.0,24.0,0,40,67.5
85,0.6,30.0,24.0,0,40,80.0
90,0.6,30.0,24.0,0,100,100.0
95,0.6,30.0,24.0,0,100,100.0
100,0.6,30.0,24.0,0,100,100.0
105,0.6,30.0,24.0,0,100,100.0
110,0.6,30.0,24.0,0,100,100.0
115,0.6,30.0,24.0,0,100,100.0
120,0.6,30.0,24.0,0,100,100.0
30,0.7,35.0,28.0,8,-10,8.333333333333334
35,0.7,35.0,28.0,6,-10,15.833333333333334
40,0.7,35.0,28.0,4,-10,23.333333333333332
45,0.7,35.0,28.0,0,0,38.333333333333336
50,0.7,35.0,28.0,0,40,40.0
55,0.7,35.0,28.0,0,40,40.0
60,0.7,35.0,28.0,0,40,40.0
65,0.7,35.0,28.0,0,40,42.5
70,0.7,35.0,28.0,0,40,47.5
75,0.7,35.0,28.0,0,40,52.5
80,0.7,35.0,28.0,0,40,57.5
85,0.7,35.0,28.0,0,40,67.5
90,0.7,35.0,28.0,0,40,77.5
95,0.7,35.0,28.0,0,40,97.5
100,0.7,35.0,28.0,0,100,100.0
105,0.7,35.0,28.0,0,100,100.0
110,0.7,35.0,28.0,0,100,100.0
115,0.7,35.0,28.0,0,100,100.0
120,0.7,35.0,28.0,0,100,100.0
30,0.8,40.0,31.999999999999996,9,-10,4.583333333333333
35,0.8,40.0,31.999999999999996,8,-10,8.333333333333334
40,0.8,40.0,31.999999999999996,6,-10,15.833333333333334
45,0.8,40.0,31.999999999999996,4,-10,23.333333333333332
50,0.8,40.0,31.999999999999996,0,0,35.0
55,0.8,40.0,31.999999999999996,0,40,40.0
60,0.8,40.0,31.999999999999996,0,40,40.0
65,0.8,40.0,31.999999999999996,0,40,40.0
70,0.8,40.0,31.999999999999996,0,40,42.5
75,0.8,40.0,31.999999999999996,0,40,47.5
80,0.8,40.0,31.999999999999996,0,40,52.5
85,0.8,40.0,31.999999999999996,0,40,57.5
90,0.8,40.0,31.999999999999996,0,40,67.5
95,0.8,40.0,31.999999999999996,0,40,77.5
100,0.8,40.0,31.999999999999996,0,40,95.0
105,0.8,40.0,31.999999999999996,0,100,100.0
110,0.8,40.0,31.999999999999996,0,100,100.0
115,0.8,40.0,31.999999999999996,0,100,100.0
120,0.8,40.0,31.999999999999996,0,100,100.0
30,0.9,44.99999999999999,36.0,11,-10,0.4166666666666667
35,0.9,44.99999999999999,36.0,9,-10,4.583333333333333
40,0.9,44.99999999999999,36.0,7,-10,12.083333333333334
45,0.9,44.99999999999999,36.0,6,-10,15.833333333333334
50,0.9,44.99999999999999,36.0,4,-10,23.333333333333332
55,0.9,44.99999999999999,36.0,0,0,35.0
60,0.9,44.99999999999999,36.0,0,40,40.0
65,0.9,44.99999999999999,36.0,0,40,40.0
70,0.9,44.99999999999999,36.0,0,40,40.0
75,0.9,44.99999999999999,36.0,0,40,42.5
80,0.9,44.99999999999999,36.0,0,40,47.5
85,0.9,44.99999999999999,36.0,0,40,52.5
90,0.9,44.99999999999999,36.0,0,40,62.5
95,0.9,44.99999999999999,36.0,0,40,67.5
100,0.9,44.99999999999999,36.0,0,40,77.5
105,0.9,44.99999999999999,36.0,0,40,92.5
110,0.9,44.99999999999999,36.0,0,100,100.0
115,0.9,44.99999999999999,36.0,0,100,100.0
120,0.9,44.99999999999999,36.0,0,100,100.0
30,1.0,49.99999999999999,39.99999999999999,12,-10,0.0
35,1.0,49.99999999999999,39.99999999999999,10,-10,0.8333333333333334
40,1.0,49.99999999999999,39.99999999999999,8,-10,6.666666666666667
45,1.0,49.99999999999999,39.99999999999999,7,-10,12.083333333333334
50,1.0,49.99999999999999,39.99999999999999,6,-10,15.833333333333334
55,1.0,49.99999999999999,39.99999999999999,4,-10,23.333333333333332
60,1.0,49.99999999999999,39.99999999999999,0,0,35.0
65,1.0,49.99999999999999,39.99999999999999,0,40,40.0
70,1.0,49.99999999999999,39.99999999999999,0,40,40.0
75,1.0,49.99999999999999,39.99999999999999,0,40,42.5
80,1.0,49.99999999999999,39.99999999999999,0,40,47.5
85,1.0,49.99999999999999,39.99999999999999,0,40,47.5
90,1.0,49.99999999999999,39.99999999999999,0,40,55.0
95,1.0,49.99999999999999,39.99999999999999,0,40,62.5
100,1.0,49.99999999999999,39.99999999999999,0,40,67.5
105,1.0,49.99999999999999,39.99999999999999,0,40,77.5
110,1.0,49.99999999999999,39.99999999999999,0,40,92.5
115,1.0,49.99999999999999,39.99999999999999,0,100,100.0
120,1.0,49.99999999999999,39.99999999999999,0,100,100.0
30,1.1,54.99999999999999,43.99999999999999,14,-10,-4.166666666666667
35,1.1,54.99999999999999,43.99999999999999,11,-10,0.4166666666666667
40,1.1,54.99999999999999,43.99999999999999,10,-10,0.8333333333333334
45,1.1,54.99999999999999,43.99999999999999,8,-10,6.666666666666667
50,1.1,54.99999999999999,43.99999999999999,7,-10,12.083333333333334
55,1.1,54.99999999999999,43.99999999999999,6,-10,15.833333333333334
60,1.1,54.99999999999999,43.99999999999999,4,-10,21.666666666666668
65,1.1,54.99999999999999,43.99999999999999,0,0,33.333333333333336
70,1.1,54.99999999999999,43.99999999999999,0,0,38.333333333333336
75,1.1,54.99999999999999,43.99999999999999,0,40,40.0
80,1.1,54.99999999999999,43.99999999999999,0,40,42.5
85,1.1,54.99999999999999,43.99999999999999,0,40,47.5
90,1.1,54.99999999999999,43.99999999999999,0,40,47.5
95,1.1,54.99999999999999,43.99999999999999,0,40,55.0
100,1.1,54.99999999999999,43.99999999999999,0,40,62.5
105,1.1,54.99999999999999,43.99999999999999,0,40,67.5
110,1.1,54.99999999999999,43.99999999999999,0,40,75.0
115,1.1,54.99999999999999,43.99999999999999,0,40,90.0
120,1.1,54.99999999999999,43.99999999999999,0,40,97.5
30,1.2,59.999999999999986,47.999999999999986,16,-10,-5.0
35,1.2,59.999999999999986,47.999999999999986,13,-10,-3.75
40,1.2,59.999999999999986,47.999999999999986,11,-10,0.4166666666666667
45,1.2,59.999999999999986,47.999999999999986,9,-10,2.9166666666666665
50,1.2,59.999999999999986,47.999999999999986,8,-10,6.666666666666667
55,1.2,59.999999999999986,47.999999999999986,7,-10,12.083333333333334
60,1.2,59.999999999999986,47.999999999999986,5,-10,17.916666666666668
65,1.2,59.999999999999986,47.999999999999986,4,-10,21.666666666666668
70,1.2,59.999999999999986,47.999999999999986,0,0,31.666666666666668
75,1.2,59.999999999999986,47.999999999999986,0,0,36.666666666666664
80,1.2,59.999999999999986,47.999999999999986,0,40,42.5
85,1.2,59.999999999999986,47.999999999999986,0,40,42.5
90,1.2,59.999999999999986,47.999999999999986,0,40,47.5
95,1.2,59.999999999999986,47.999999999999986,0,40,50.0
100,1.2,59.999999999999986,47.999999999999986,0,40,55.0
105,1.2,59.999999999999986,47.999999999999986,0,40,62.5
110,1.2,59.999999999999986,47.999999999999986,0,40,70.0
115,1.2,59.999999999999986,47.999999999999986,0,40,75.0
120,1.2,59.999999999999986,47.999999999999986,0,40,87.5
30,1.3,64.99999999999999,51.99999999999999,18,-10,-7.5
